Carrier Concentration,Temperature,Conducitivty x,Conducitivty y,Conducitivty z,Conducitivty ave,Seebeck x,Seebeck y,Seebeck z,Seebeck ave,Kele x,Kele y,Kele z,Kele ave,Mobility x,Mobility y,Mobility z,Mobility ave,PF x,PF y,PF z,PF ave,ADP,ADP,ADP,ADP,IMP,IMP,IMP,IMP,PIE,PIE,PIE,PIE,POP,POP,POP,POP
1.00E+17,240,142.496506,1502.51086,794.173645,813.060303,638.570984,580.606628,582.196533,600.458069,6.93E-04,6.07E-03,3.48E-03,3.41E-03,88.9393234,937.793518,495.684204,507.472321,5.81E-05,5.07E-04,2.69E-04,2.93E-04,3625.87134,24591.6211,28236.9844,18818.1582,9907.50781,104224.195,45202.9922,53111.5625,0,0,0,0,101.926872,1059.34106,555.966492,572.411438
2.00E+17,240,280.116364,2949.2146,1555.87952,1595.07019,580.474976,522.428772,524.463989,542.455933,1.37E-03,1.20E-02,6.85E-03,6.73E-03,87.4174423,920.377563,485.551819,497.782257,9.44E-05,8.05E-04,4.28E-04,4.69E-04,3605.74976,24510.1016,28048.7031,18721.5176,63102.6133,82004.2344,92875.1406,79327.3281,0,0,0,0,101.877037,1057.14807,554.430603,571.151917
4.00E+17,240,548.898071,5765.11035,3034.76318,3116.25708,522.690735,464.625427,467.170654,484.828949,2.69E-03,2.35E-02,1.34E-02,1.32E-02,85.6488113,899.574707,473.537537,486.253662,1.50E-04,1.24E-03,6.62E-04,7.33E-04,3566.31079,24348.5176,27679.3242,18531.3848,5334.33203,83162.6797,25324.9492,37940.6562,0,0,0,0,101.778809,1052.79822,551.415283,568.664124
6.00E+17,240,812.606628,8514.18359,4475.74902,4600.84619,488.924286,430.940308,433.897369,451.253998,3.99E-03,3.49E-02,1.99E-02,1.96E-02,84.5315323,885.689331,465.590485,478.60379,1.94E-04,1.58E-03,8.43E-04,9.37E-04,3527.30688,24183.75,27317.5176,18342.8574,4199.16162,1691048,20202.25,571816.438,0,0,0,0,101.66967,1048.48157,548.519531,566.223572
8.00E+17,240,1073.00708,11214.4736,5889.35449,6058.94531,465.108032,407.19751,410.421539,427.575684,5.27E-03,4.61E-02,2.62E-02,2.59E-02,83.714798,874.940552,459.480743,472.712036,2.32E-04,1.86E-03,9.92E-04,1.11E-03,3489.9043,24025.9551,26966.3477,18160.7363,3586.86255,1267303.5,17617.0391,429502.469,0,0,0,0,101.575073,1044.229,545.648193,563.817444
1.00E+18,240,1331.00378,13875.4453,7281.04883,7495.83252,446.675781,388.858063,392.302887,409.2789,6.55E-03,5.72E-02,3.25E-02,3.21E-02,83.0747299,866.037231,454.447357,467.853119,2.66E-04,2.10E-03,1.12E-03,1.26E-03,3453.46558,23870.0234,26623.7852,17982.4238,4298.99756,1012929.44,16669.5605,344632.656,0,0,0,0,101.482254,1040.02551,542.845032,561.450928
2.00E+18,240,2596.40186,26735.0547,13995.2764,14442.2451,389.58905,332.393402,336.656464,352.879639,1.28E-02,0.111005314,6.30E-02,6.23E-02,81.0273285,834.335388,436.758209,450.707001,3.94E-04,2.95E-03,1.59E-03,1.80E-03,3284.10767,23112.8535,25028.9141,17141.959,2264.65356,502049.875,11554.4141,171956.312,0,0,0,0,101.026337,1019.66144,529.747742,550.145203
4.00E+18,240,5063.24219,50912.3047,26589.4434,27521.6641,333.375885,277.531525,282.702118,297.869843,2.50E-02,0.214607,0.12124677,0.120271794,79.0056763,794.424011,414.89563,429.441772,5.63E-04,3.92E-03,2.13E-03,2.44E-03,3001.78955,21730.6973,22337.877,15690.1211,1574.30798,245750.422,8535.77148,85286.8359,0,0,0,0,100.253662,982.677979,507.565918,530.165833
6.00E+18,240,7480.65869,73500.0469,38384.1523,39788.2852,301.029694,246.427292,252.316696,266.591217,3.68E-02,0.312470108,0.176299632,0.175174832,77.8176651,764.585266,399.291718,413.898224,6.78E-04,4.46E-03,2.44E-03,2.83E-03,2775.85278,20488.9648,20156.1641,14473.6611,1294.86389,157370.797,7080.60156,55248.75,0,0,0,0,99.585495,950.050842,489.413452,513.016602
8.00E+18,240,9866.77539,94869.4766,49572.2617,51436.1719,278.575745,225.14978,231.591339,245.105637,4.84E-02,0.407289416,0.229377761,0.228354618,76.9794617,740.160828,386.757172,401.299164,7.66E-04,4.81E-03,2.66E-03,3.09E-03,2592.33862,19375.0352,18358.4277,13441.9336,1137.66809,114075.742,6260.57129,40491.3281,0,0,0,0,99.020546,921.397278,474.294861,498.237549
