Carrier Concentration,Temperature,Conducitivty x,Conducitivty y,Conducitivty z,Conducitivty ave,Seebeck x,Seebeck y,Seebeck z,Seebeck ave,Kele x,Kele y,Kele z,Kele ave,Mobility x,Mobility y,Mobility z,Mobility ave,PF x,PF y,PF z,PF ave,ADP,ADP,ADP,ADP,IMP,IMP,IMP,IMP,PIE,PIE,PIE,PIE,POP,POP,POP,POP
8.00E+16,240,96.2569885,1657.23853,1451.75342,1068.41638,543.480835,511.197906,496.40683,517.028503,4.59E-04,6.43E-03,4.66E-03,3.85E-03,75.0986099,1292.95874,1132.6416,833.566345,2.84E-05,4.33E-04,3.58E-04,2.86E-04,12959.8076,26195.1465,55100.1914,31418.3809,3075.16479,70232.0859,69972.2578,47759.832,0,0,0,0,86.6375427,1505.72034,1305.74426,966.033997
1.00E+17,240,119.394371,2053.70142,1796.64319,1323.24622,524.761902,492.602692,477.86142,498.408691,5.72E-04,7.99E-03,5.79E-03,4.78E-03,74.5201035,1281.81958,1121.37646,825.905457,3.29E-05,4.98E-04,4.10E-04,3.29E-04,12891.002,26167.7539,54919.6055,31326.1191,2768.44678,63240.6406,62660.9727,42890.0195,0,0,0,0,86.5695267,1503.62207,1303.50256,964.564758
2.00E+17,240,232.176422,3979.84277,3465.15845,2559.05933,466.778748,434.99472,420.596497,440.789948,1.12E-03,1.56E-02,1.13E-02,9.34E-03,72.4565659,1242.01123,1081.39087,798.619568,5.06E-05,7.53E-04,6.13E-04,4.97E-04,12554.3701,26023.3262,54032.3164,30870.0059,2020.23743,63082.7188,44638.0234,36580.3281,0,0,0,0,86.218689,1492.94092,1292.38818,957.182617
4.00E+17,240,448.792358,7657.26025,6621.93164,4909.32812,409.586609,378.257568,364.069244,383.971161,2.19E-03,3.05E-02,2.20E-02,1.82E-02,70.0285339,1194.82141,1033.27112,766.040344,7.53E-05,1.10E-03,8.78E-04,7.24E-04,11918.3516,25754.0039,52340.1875,30004.1816,1494.72534,43979.7109,60993.8242,35489.4219,0,0,0,0,85.5716629,1472.75476,1270.95203,943.092773
6.00E+17,240,657.778076,11180.2744,9620.20801,7152.75391,376.552734,345.501923,331.434723,351.163116,3.24E-03,4.50E-02,3.24E-02,2.69E-02,68.4254608,1163.02966,1000.74347,744.066162,9.33E-05,1.33E-03,1.06E-03,8.82E-04,11327.2852,25489.1719,50747.0625,29187.8379,1245.33313,33554.2578,30654.166,21817.9199,0,0,0,0,84.9538193,1453.30725,1250.40576,929.555664
8.00E+17,240,861.212769,14586.9375,12501.4561,9316.53516,353.270508,322.437531,308.509918,328.072632,4.26E-03,5.91E-02,4.26E-02,3.53E-02,67.1908417,1138.05627,975.349426,726.865479,1.07E-04,1.52E-03,1.19E-03,1.00E-03,10776.8018,25225.6191,49243.8555,28415.4277,1105.00024,29262.5,25936.7227,18768.0742,0,0,0,0,84.3555145,1434.44519,1230.67896,916.493164
1.00E+18,240,1060.4469,17901.4551,15288.0605,11416.6533,335.478973,304.8172,290.926727,310.407623,5.28E-03,7.32E-02,5.25E-02,4.37E-02,66.1878815,1117.3208,954.205627,712.571472,1.19E-04,1.66E-03,1.29E-03,1.10E-03,10263.7158,24969.5859,47824.4648,27685.9219,1009.82678,25899.0605,21142.541,16017.1436,0,0,0,0,83.7892761,1416.39575,1211.78394,903.989685
2.00E+18,240,2010.07092,33405.6211,28158.25,21191.3145,281.563232,251.601135,237.663818,256.942719,1.02E-02,0.140729457,0.100066036,8.37E-02,62.7293777,1042.50732,878.749817,661.328857,1.59E-04,2.11E-03,1.59E-03,1.40E-03,8153.88818,23750.9062,41764.6289,24556.4746,762.96637,18455.4668,14620.0615,11279.499,0,0,0,0,81.267601,1335.49878,1128.05066,848.272278
4.00E+18,240,3761.26831,60820.8398,50347.7148,38309.9414,230.9785,202.29863,187.636353,206.971146,1.97E-02,0.266682416,0.186909288,0.157755062,58.6899796,949.034607,785.614319,597.779602,2.01E-04,2.49E-03,1.77E-03,1.64E-03,5451.55908,21611.959,33237.5391,20100.3516,585.443665,13427.748,10238.2568,8083.81641,0,0,0,0,77.3864517,1212.23303,1002.36096,763.993469
6.00E+18,240,5386.64258,85209.4297,69478.2109,53358.0938,203.654831,176.084503,160.543365,180.094238,2.88E-02,0.382351846,0.264890969,0.225349367,56.0346336,886.392395,722.748108,555.05835,2.23E-04,2.64E-03,1.79E-03,1.73E-03,3879.69946,19808,27570.3945,17086.0312,503.462494,11220.3525,8273.44629,6665.75391,0,0,0,0,74.5083389,1125.53174,914.154358,704.731445
8.00E+18,240,6920.43311,107708.312,86549.7422,67059.4922,185.903351,158.823746,142.466537,162.397888,3.76E-02,0.490364045,0.335880667,0.287964344,53.9924355,840.328064,675.251282,523.190613,2.39E-04,2.72E-03,1.76E-03,1.77E-03,1293.57129,18275.6641,20409.1016,13326.1123,448.972717,9894.74707,7073.28906,5805.66943,0,0,0,0,72.2498169,1063.05505,849.505066,661.603333
1.00E+19,240,8398.34473,128921.992,102127.102,79815.8125,172.835587,146.079666,128.98584,149.300369,4.64E-02,0.591867983,0.401411891,0.346566111,52.4183464,804.667786,637.427246,498.171143,2.51E-04,2.75E-03,1.70E-03,1.78E-03,1173.38306,16958.9258,18421.9473,12184.7529,415.392365,8971.97168,6250.59326,5212.65234,0,0,0,0,70.5031433,1016.63293,800.208679,629.114929
2.00E+19,240,15217.1309,222112.672,163811.141,133713.641,138.5905,109.061966,89.8198776,112.490784,8.78E-02,1.04467177,0.672558129,0.601682961,47.4889297,693.159119,511.214355,417.287476,2.92E-04,2.64E-03,1.32E-03,1.69E-03,800.974304,12398.2783,11976.0039,8391.75293,332.415009,6589.87207,4135.99316,3686.09351,0,0,0,0,65.3411179,886.819092,649.875122,534.01178
4.00E+19,240,27450,354748.094,233504.609,205234.234,113.663116,79.4121323,58.4560165,83.8437576,0.160963252,1.74901879,1.02685285,0.978944957,42.8323555,553.540833,364.355286,320.242828,3.55E-04,2.24E-03,7.98E-04,1.44E-03,560.897522,7679.00049,6460.54834,4900.14893,272.165558,4548.31055,2553.68262,2458.05298,0,0,0,0,61.1620102,737.516174,481.203583,426.627228
6.00E+19,240,38459.8125,445928.375,270910.875,251766.359,102.541527,66.9493713,44.0868111,71.1925735,0.223220587,2.26611948,1.23893917,1.2427597,40.0078773,463.877655,281.81546,261.90033,4.04E-04,2.00E-03,5.27E-04,1.28E-03,451.420441,5371.33252,4169.87988,3330.87769,241.446075,3415.3623,1892.08264,1849.63037,0,0,0,0,58.89814,644.524597,386.522552,363.315094
8.00E+19,240,48700.1367,516268.406,291825.031,285597.875,95.1810455,59.7007561,35.254734,63.3788452,0.27947557,2.68252373,1.3861115,1.44937038,37.9952927,402.786743,227.678574,222.820206,4.41E-04,1.84E-03,3.63E-04,1.15E-03,390.764038,4067.22461,2946.08984,2468.02612,208.984695,2731.54028,1374.51086,1438.34521,0,0,0,0,57.3103828,581.634094,323.090698,320.678375
