Carrier Concentration,Temperature,Conducitivty x,Conducitivty y,Conducitivty z,Conducitivty ave,Seebeck x,Seebeck y,Seebeck z,Seebeck ave,Kele x,Kele y,Kele z,Kele ave,Mobility x,Mobility y,Mobility z,Mobility ave,PF x,PF y,PF z,PF ave,ADP,ADP,ADP,ADP,IMP,IMP,IMP,IMP,PIE,PIE,PIE,PIE,POP,POP,POP,POP
6.00E+17,240,5679.5708,11526.2861,4546.49805,7250.78516,-484.771515,-353.357239,-368.502838,-402.210541,2.90E-02,4.83E-02,2.16E-02,3.30E-02,590.818237,1199.02368,472.950195,754.263977,1.33E-03,1.44E-03,6.17E-04,1.17E-03,14442.5928,50750.6562,16394.6387,27195.9629,48100.8242,41821.332,15153.0508,35025.0664,0,0,0,0,672.610352,1320.56299,544.019592,845.730957
8.00E+17,240,7570.19189,15145.3711,5956.30273,9557.28809,-460.339111,-329.847839,-345.862488,-378.683136,3.84E-02,6.39E-02,2.84E-02,4.36E-02,590.617798,1181.62463,464.703979,745.648743,1.60E-03,1.65E-03,7.12E-04,1.37E-03,14269.4766,49852.5977,16073.8584,26731.9766,39205.3516,35711.1211,13157.2881,29357.9199,0,0,0,0,676.513,1311.41772,538.088074,842.006287
1.00E+18,240,9465.48535,18677.0332,7331.85791,11824.793,-441.393219,-311.839355,-328.554962,-360.595825,4.79E-02,7.92E-02,3.50E-02,5.40E-02,590.789124,1165.72864,457.618591,738.045471,1.84E-03,1.82E-03,7.91E-04,1.54E-03,14107.665,48980.6406,15766.2012,26284.8359,33497.1797,31564.0879,11792.6797,25617.9824,0,0,0,0,680.382324,1302.35352,532.513794,838.416504
2.00E+18,240,19036.4355,35224.0703,13819.2568,22693.2559,-382.245605,-257.647705,-276.462982,-305.452118,9.44E-02,0.152468562,6.62E-02,0.104342848,594.080383,1099.25671,431.265076,708.200745,2.78E-03,2.34E-03,1.06E-03,2.12E-03,13427.4082,44975.8125,14396.6729,24266.6309,20910.4805,21419.4453,8411.50781,16913.8105,0,0,0,0,699.289856,1258.31238,508.99649,822.199646
4.00E+18,240,38806.6914,64069.0898,25496.9785,42790.918,-322.892029,-207.725067,-227.823181,-252.813416,0.188125402,0.286432207,0.122890852,0.199149489,605.530762,999.719482,397.84903,667.699768,4.05E-03,2.76E-03,1.32E-03,2.73E-03,12536.9932,38444.3906,12296.2578,21092.5469,13602.9531,14548.0156,6030.07275,11393.6807,0,0,0,0,733.885193,1177.75891,475.906708,795.850281
6.00E+18,240,59408.6641,88847.3906,36031.9453,61429.332,-288.117493,-181.515594,-201.307846,-223.646973,0.285169661,0.406446815,0.174512044,0.288709491,617.999512,924.236328,374.822876,639.019592,4.93E-03,2.93E-03,1.46E-03,3.07E-03,11973.335,33399.168,10757.2139,18709.9062,11176.1035,11567.7246,4975.42725,9239.75195,0,0,0,0,765.254272,1107.79626,452.769592,775.273376
8.00E+18,240,80645.4453,110754.273,45753.4023,79051.0391,-263.265137,-164.55835,-183.548553,-203.790695,0.384674877,0.514708519,0.222962976,0.374115467,629.186584,864.092285,356.96286,616.747253,5.59E-03,3.00E-03,1.54E-03,3.28E-03,11578.3252,29429.8496,9581.53418,16863.2363,9680.52539,9808.9668,4339.98242,7943.1582,0,0,0,0,792.232483,1047.95789,434.890289,758.360291
1.00E+19,240,102451.258,130597.352,54831.2773,95959.9609,-244.247253,-152.441513,-170.283264,-188.990677,0.488914251,0.614229381,0.267858624,0.457000762,639.450439,815.124512,342.229919,598.934998,6.11E-03,3.03E-03,1.59E-03,3.43E-03,11007.2266,26242.2676,8652.26367,15300.5859,8958.7002,8637.90332,3909.89795,7168.83398,0,0,0,0,816.983826,997.492371,420.385132,744.953796
2.00E+19,240,215134.812,212527.141,94277.3047,173979.75,-186.06897,-119.0354,-132.759506,-145.954636,1.03659344,1.01835096,0.471999228,0.842314541,671.382935,663.245056,294.216309,542.948059,7.45E-03,3.01E-03,1.66E-03,3.71E-03,10080.1035,16920.7871,5652.43408,10884.4414,6866.86523,5808.07227,2795.35498,5156.76416,0,0,0,0,901.897034,837.416504,373.898132,704.40387
4.00E+19,240,444536.844,341000.969,158464.25,314667.344,-134.115646,-87.9132538,-100.002693,-107.343864,2.21624899,1.66246641,0.838188112,1.57230127,693.645203,532.090149,247.264023,490.999786,8.00E-03,2.64E-03,1.58E-03,3.63E-03,8589.42773,9948.05566,3691.02979,7409.50439,5469.88428,3696.58472,1909.44788,3691.97241,0,0,0,0,989.726318,708.789673,334.180237,677.56543
